State,Maize,Rice,Sorghum,Millet
Abia,12830.974516047,2502.8468351053,0.0,0.0
Adamawa,41942.136024288,21624.426343931,24836.306553839,4748.1000462525
Akwa Ibom,11908.110729568,628.79237693339,0.0,0.0
Anambra,12464.989189219,5015.6600934274,161.64204589099,0.0
Bauchi,49711.49761814,13157.394416562,42813.060592296,22570.599258915
Bayelsa,4625.6328037868,7616.7559758516,7.02682443541,0.0
Benue,37415.122020431,39962.51278867,21422.967419004,7177.2593551935
Borno,78529.514228014,16197.091969101,57252.819738303,22714.5645862
Cross River,23682.369657589,6769.2921719141,0.0,0.0
Delta,26318.153572838,1993.0242611833,5.8106432831275,0.0
Ebonyi,12233.572883262,23450.263409752,13.3978057991,0.0
Edo,18315.358958246,5697.1168694783,0.0,0.0
Ekiti,30959.218915833,8436.527829683,7.8153867161417,0.0
Enugu,20303.091863068,6938.1331874657,868.37630179352,0.0
Abuja Federal Capital Territory,22336.712138044,14355.037720651,5340.7623635449,2541.720583004
Gombe,50466.389844804,15375.852583465,25227.075889646,21798.176799438
Imo,28436.632476126,3128.8386046231,20.269685871375,0.0
Jigawa,17834.830778912,10057.326641323,27006.751789262,17764.6994477
Kaduna,163925.91990496,63415.63595758,66177.469314595,37528.308067279
Kano,36398.77849767,26524.184248801,70280.514908138,18441.6323052
Katsina,45780.427213083,8799.3680260429,46041.060453202,15522.648291988
Kebbi,21667.656286141,17795.804614382,30994.955339916,18067.702067361
Kogi,52588.72570208,30625.518294078,9567.2738781314,2693.326897624
Kwara,29742.21387914,23759.713181986,11505.489783735,2443.7733098352
Lagos,14988.434646789,3224.8550772936,0.0,0.0
Nasarawa,33706.702710041,24386.119594243,16587.72411686,3674.5845454516
Niger,96525.252798625,54654.287150189,60427.453605391,17489.612352599
Ogun,32245.864784878,4229.8221081055,0.0,0.0
Ondo,47442.322176369,8280.0751724081,23.942375178021,100.17841834347
Osun,26360.044773026,6061.1403789792,2.4810751479815,11.155725873438
Oyo,49539.464967678,8428.6634919982,4805.7185078827,102.18644900069
Plateau,84990.607545485,17080.864824855,31512.879777057,11810.790096726
Rivers,15752.042049938,6829.8973163861,0.0,0.0
Sokoto,11598.487844737,7767.76322975,22595.505776064,30196.901586838
Taraba,77198.932093205,40335.592202171,26922.146430747,11282.120247584
Yobe,14542.521739273,8865.743276345,28701.967058951,26465.515591838
Zamfara,19384.183022289,10126.4356334,60998.454514058,20980.9560487
